latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C)
2023-10-09T00:00,10.4
2023-10-09T01:00,10.0
2023-10-09T02:00,9.9
2023-10-09T03:00,9.7
2023-10-09T04:00,9.7
2023-10-09T05:00,9.6
2023-10-09T06:00,9.6
2023-10-09T07:00,9.8
2023-10-09T08:00,10.1
2023-10-09T09:00,10.6
2023-10-09T10:00,11.0
2023-10-09T11:00,11.6
2023-10-09T12:00,12.0
2023-10-09T13:00,12.2
2023-10-09T14:00,12.1
2023-10-09T15:00,11.8
2023-10-09T16:00,11.6
2023-10-09T17:00,11.4
2023-10-09T18:00,11.3
2023-10-09T19:00,11.2
2023-10-09T20:00,11.1
2023-10-09T21:00,11.1
2023-10-09T22:00,11.1
2023-10-09T23:00,11.1
2023-10-10T00:00,11.1
2023-10-10T01:00,11.2
2023-10-10T02:00,11.4
2023-10-10T03:00,11.7
2023-10-10T04:00,12.0
2023-10-10T05:00,12.2
2023-10-10T06:00,12.8
2023-10-10T07:00,13.1
2023-10-10T08:00,13.6
2023-10-10T09:00,14.1
2023-10-10T10:00,14.9
2023-10-10T11:00,16.0
2023-10-10T12:00,16.5
2023-10-10T13:00,16.4
2023-10-10T14:00,15.8
2023-10-10T15:00,15.4
2023-10-10T16:00,15.0
2023-10-10T17:00,14.7
2023-10-10T18:00,14.5
2023-10-10T19:00,14.5
2023-10-10T20:00,14.6
2023-10-10T21:00,14.7
2023-10-10T22:00,14.9
2023-10-10T23:00,15.0
2023-10-11T00:00,14.9
2023-10-11T01:00,15.2
2023-10-11T02:00,15.0
2023-10-11T03:00,14.8
2023-10-11T04:00,14.7
2023-10-11T05:00,14.5
2023-10-11T06:00,14.3
2023-10-11T07:00,14.8
2023-10-11T08:00,16.1
2023-10-11T09:00,17.6
2023-10-11T10:00,19.0
2023-10-11T11:00,19.9
2023-10-11T12:00,20.9
2023-10-11T13:00,21.1
2023-10-11T14:00,21.2
2023-10-11T15:00,21.0
2023-10-11T16:00,20.1
2023-10-11T17:00,18.9
2023-10-11T18:00,18.2
2023-10-11T19:00,17.9
2023-10-11T20:00,17.9
2023-10-11T21:00,17.9
2023-10-11T22:00,17.5
2023-10-11T23:00,17.3
2023-10-12T00:00,16.7
2023-10-12T01:00,15.9
2023-10-12T02:00,15.5
2023-10-12T03:00,15.2
2023-10-12T04:00,14.3
2023-10-12T05:00,13.7
2023-10-12T06:00,13.3
2023-10-12T07:00,13.2
2023-10-12T08:00,13.3
2023-10-12T09:00,13.5
2023-10-12T10:00,13.9
2023-10-12T11:00,14.4
2023-10-12T12:00,14.7
2023-10-12T13:00,14.7
2023-10-12T14:00,14.6
2023-10-12T15:00,14.2
2023-10-12T16:00,13.4
2023-10-12T17:00,12.5
2023-10-12T18:00,11.6
2023-10-12T19:00,10.9
2023-10-12T20:00,10.3
2023-10-12T21:00,9.8
2023-10-12T22:00,9.3
2023-10-12T23:00,8.9
2023-10-13T00:00,8.6
2023-10-13T01:00,8.2
2023-10-13T02:00,7.8
2023-10-13T03:00,7.5
2023-10-13T04:00,7.2
2023-10-13T05:00,7.0
2023-10-13T06:00,7.3
2023-10-13T07:00,8.4
2023-10-13T08:00,10.0
2023-10-13T09:00,11.4
2023-10-13T10:00,12.4
2023-10-13T11:00,13.2
2023-10-13T12:00,14.0
2023-10-13T13:00,15.0
2023-10-13T14:00,16.1
2023-10-13T15:00,16.8
2023-10-13T16:00,16.9
2023-10-13T17:00,16.8
2023-10-13T18:00,16.6
2023-10-13T19:00,16.7
2023-10-13T20:00,16.8
2023-10-13T21:00,16.8
2023-10-13T22:00,16.9
2023-10-13T23:00,16.9
2023-10-14T00:00,16.9
2023-10-14T01:00,16.9
2023-10-14T02:00,16.8
2023-10-14T03:00,16.7
2023-10-14T04:00,16.4
2023-10-14T05:00,16.0
2023-10-14T06:00,16.0
2023-10-14T07:00,16.6
2023-10-14T08:00,17.6
2023-10-14T09:00,18.2
2023-10-14T10:00,18.0
2023-10-14T11:00,17.5
2023-10-14T12:00,17.0
2023-10-14T13:00,16.8
2023-10-14T14:00,16.7
2023-10-14T15:00,16.3
2023-10-14T16:00,15.5
2023-10-14T17:00,14.5
2023-10-14T18:00,13.7
2023-10-14T19:00,13.2
2023-10-14T20:00,12.9
2023-10-14T21:00,12.5
2023-10-14T22:00,11.6
2023-10-14T23:00,10.6
2023-10-15T00:00,9.9
2023-10-15T01:00,9.6
2023-10-15T02:00,9.6
2023-10-15T03:00,9.5
2023-10-15T04:00,8.9
2023-10-15T05:00,8.1
2023-10-15T06:00,8.0
2023-10-15T07:00,9.1
2023-10-15T08:00,10.7
2023-10-15T09:00,12.1
2023-10-15T10:00,13.1
2023-10-15T11:00,13.8
2023-10-15T12:00,14.3
2023-10-15T13:00,14.4
2023-10-15T14:00,14.1
2023-10-15T15:00,13.6
2023-10-15T16:00,12.7
2023-10-15T17:00,11.6
2023-10-15T18:00,10.6
2023-10-15T19:00,10.0
2023-10-15T20:00,9.6
2023-10-15T21:00,9.2
2023-10-15T22:00,9.0
2023-10-15T23:00,8.8
